date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end
2018-02-21,26.61,26.61,22.47,22.47,81200,3.112181086197238,0.0,,,,,1,2,0,0,0
2018-02-22,23.37,23.37,22.47,22.47,28900,3.112181086197238,0.0,,,,,1,3,0,0,0
2018-02-23,22.65,22.65,20.14,20.68,37800,3.0291670496402285,-0.08301403655700934,,,,,1,4,0,1,0
2018-02-26,19.78,21.84,17.98,20.59,21100,3.0248055210396982,-0.0043615286005302956,,,,,1,0,1,0,1
2018-02-27,22.29,22.29,17.98,21.58,34700,3.0717669598299886,0.046961438790290355,0.04687501895591701,,,,1,1,0,0,1
2018-02-28,18.34,19.78,18.34,19.78,2300,2.984671326194566,-0.0870956336354225,0.05798627326713595,,,,1,2,0,0,1
2018-03-01,19.78,19.96,18.88,19.96,21100,2.993730270883318,0.00905894468875168,0.05911286805340914,,,,0,3,0,0,0
2018-03-02,19.69,19.69,18.43,19.42,24900,2.966303462863179,-0.02742680802013897,0.049633600594495106,,,,0,4,0,1,0
2018-03-05,19.06,19.33,18.88,19.15,35500,2.952302715626655,-0.014000747236524003,0.049421680397589825,,,,0,0,1,0,0
2018-03-06,20.23,20.23,18.43,19.51,4200,2.97092715463502,0.01862443900836519,0.04162061107374767,0.042273313014843,,,0,1,0,0,0
2018-03-07,18.43,18.43,17.98,18.16,3000,2.8992213731731473,-0.07170578146187268,0.03556179526328108,0.04556448350703279,,,0,2,0,0,0
2018-03-08,18.88,18.88,18.88,18.88,2100,2.9381031607173544,0.038881787544207125,0.042807002553140676,0.04910506235634994,,,0,3,0,0,0
2018-03-09,18.88,18.88,16.18,18.79,36700,2.933324813425374,-0.004778347291980456,0.041838132989960565,0.04339099454471454,,,0,4,0,1,0
2018-03-12,17.98,18.79,17.53,18.43,7000,2.9139797716817317,-0.019345041743642266,0.04214177221727841,0.0434492707121202,,,0,0,1,0,0
2018-03-13,17.98,17.98,17.26,17.8,15100,2.8791984572980396,-0.03478131438369214,0.04055084705596821,0.03875118217705645,,,0,1,0,0,0
2018-03-14,17.17,17.71,16.9,16.9,11700,2.8273136219290276,-0.051884835369012006,0.03455606921825878,0.03308808434661127,,,0,2,0,0,0
2018-03-15,16.45,17.53,16.18,17.35,29700,2.8535925063928684,0.026278884463840857,0.029837094547836306,0.034919260248751284,,,0,3,0,0,0
2018-03-16,18.79,19.33,17.53,17.98,33500,2.8892600290434745,0.03566752265060602,0.03824401099440507,0.03780714987480407,,,0,4,0,1,0
2018-03-19,18.16,19.06,18.16,19.06,14000,2.947591898226056,0.058331869182581375,0.04754255952404529,0.04302758955144783,,,0,0,1,0,0
2018-03-20,17.98,18.79,17.17,17.98,101100,2.8892600290434745,-0.058331869182581375,0.053478395080244184,0.04601130976576168,0.04311196680175401,,0,1,0,0,0
2018-03-21,18.43,18.43,17.17,17.8,63600,2.8791984572980396,-0.010061571745434872,0.04563659130319005,0.04033160050327637,0.04303369046913451,,0,2,0,0,0
2018-03-22,17.98,20.14,17.8,20.14,135400,3.0027078872904163,0.12350942999237668,0.06889506741357695,0.055782556545998854,0.052593514356013886,,0,3,0,0,0
