date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2014-01-24,8.14,8.35,7.93,8.05,8417060,2.0856720914304723,0.0,,,,,1,4,0,1,0,0.0,0.0009606320558229223,0.0012839682245710388,0.0
2014-01-27,8.01,8.05,7.75,7.88,3240910,2.064327903869788,-0.021344187560684347,,,,,1,0,1,0,1,2.481365205786598e-05,0.0005202442295278529,0.0006177839935510596,0.0004555743426256717
2014-02-06,7.8,7.84,7.54,7.54,959590,2.020222182019865,-0.04410572184992301,,,,,1,3,0,0,0,0.00010412508894488462,0.0005490533622245942,0.0003171755967714282,0.0019453146999027764
2014-02-07,7.45,7.5,7.07,7.11,2987600,1.9615022438151495,-0.05871993820471544,,,,,1,4,0,1,0,0.0001441956574979589,0.001257316520308084,0.0009001199087636175,0.0034480311427655687
2014-02-10,7.07,7.37,6.94,7.28,4052090,1.9851308622085946,0.0236286183934451,0.03311164462008747,,,,1,0,1,0,0,3.1829499978583196e-05,0.001303448006215438,0.0014760028875077482,0.0005583116071830554
2014-02-11,7.37,7.37,7.24,7.24,1938480,1.979621206397625,-0.005509655810969516,0.03235826809481008,,,,1,1,0,0,0,0.00015096653529973392,0.00011423093613552622,3.6012327498288424e-05,3.035630715535091e-05
2014-02-12,7.2,7.24,7.15,7.2,1176180,1.9740810260220096,-0.005540180375615433,0.03310516411130886,,,,1,2,0,0,0,3.069359859435351e-05,5.643509957126231e-05,7.82356603048805e-05,3.069359859435351e-05
2014-02-13,7.2,7.24,7.11,7.11,2156140,1.9615022438151495,-0.01257878220686015,0.02973218873944894,,,,1,3,0,0,0,0.0,0.00011840804315179545,0.00010302668296239234,0.00015822576180761955
2014-02-14,7.2,7.28,7.11,7.2,1489380,1.9740810260220096,0.01257878220686015,0.015034692249814052,,,,1,4,0,1,0,0.0001582257618076224,0.00020136834673843525,0.0002791558035915277,0.0001582257618076224
2014-02-17,7.24,7.24,7.11,7.15,1173560,1.9671123567059163,-0.006968669316093301,0.009501716598752014,0.024557539019126762,,,1,0,1,0,0,3.069359859435345e-05,0.00011840804315179545,0.00010370441370404206,4.856235203706048e-05
2014-02-18,7.15,7.15,7.11,7.11,1861540,1.9615022438151495,-0.00561011289076685,0.009506859101206553,0.0243195253856398,,,1,1,0,0,0,0.0,1.1351617495479996e-05,3.5786992623218253e-06,3.147336664714769e-05
2014-02-19,7.15,7.2,7.07,7.11,2988120,1.9615022438151495,0.0,0.009550420016129223,0.024385521572654032,,,1,2,0,0,0,3.147336664714763e-05,0.00011973946875432054,0.0001538361662763539,0.0
2014-02-20,7.15,7.37,7.11,7.24,3243650,1.979621206397625,0.018118962582475584,0.011190385656267057,0.022674833775980677,,,1,3,0,0,0,3.147336664714763e-05,0.0004652404549077927,0.0005845162303749925,0.0003282968050651494
2014-02-21,7.2,7.2,7.15,7.15,903040,1.9671123567059163,-0.012508849691708734,0.011780188601543144,0.012899050543192037,,,1,4,0,1,0,3.069359859435351e-05,1.7515166114442294e-05,5.521813263894044e-06,0.00015647132060975962
2014-02-24,7.2,7.2,7.11,7.15,833430,1.9671123567059163,0.0,0.011360474157380712,0.01005451042881896,,,1,0,1,0,0,4.856235203705908e-05,5.706788047518379e-05,6.03535181491757e-05,0.0
2014-02-25,7.11,7.15,7.07,7.15,1249150,1.9671123567059163,0.0,0.010937018016185695,0.009979433487081437,,,1,1,0,0,1,3.147336664714769e-05,4.566300455928332e-05,5.114438167107436e-05,0.0
2014-02-26,7.15,7.24,7.11,7.15,1399670,1.9671123567059163,0.0,0.010937018016185695,0.009868013043108624,,,1,2,0,0,1,0.0,0.00011840804315179545,0.0001641484025325747,0.0
2014-02-27,7.15,7.45,7.15,7.24,3731900,1.979621206397625,0.012508849691708734,0.008845092441850494,0.009699205272541023,,,1,3,0,0,1,0.0,0.0006093034032092476,0.000784229883251606,0.000156471320609761
2014-02-28,7.2,7.28,7.2,7.28,1154560,1.9851308622085946,0.005509655810969516,0.005520288028153562,0.009064102481457009,,,1,4,0,1,1,3.069359859435351e-05,4.4037862078486246e-05,1.3883331128560555e-05,3.035630715535218e-05
2014-03-03,7.24,7.28,7.15,7.15,954830,1.9671123567059163,-0.01801850550267825,0.011308118414607687,0.010686105519875477,0.019409995660969813,,0,0,1,0,0,3.035630715535091e-05,0.00011709870199853138,0.00010188928144648987,0.0003246665405500464
2014-03-04,7.11,7.15,7.07,7.11,1551740,1.9615022438151495,-0.00561011289076685,0.011583100422953223,0.010686105519875477,0.019360291766400372,,0,1,0,0,0,3.147336664714769e-05,4.566300455928332e-05,6.330236573232633e-05,3.147336664714769e-05
2014-03-05,7.15,7.2,7.11,7.11,737090,1.9615022438151495,0.0,0.011583100422953223,0.010686105519875477,0.01906812501512213,,0,2,0,0,0,3.147336664714763e-05,5.706788047518379e-05,6.695489684255921e-05,0.0
2014-03-06,7.11,7.15,7.07,7.11,768340,1.9615022438151495,0.0,0.008955959654603107,0.008606258543548106,0.016731964369365707,,0,3,0,0,0,0.0,4.566300455928332e-05,6.330236573232633e-05,0.0
2014-03-07,7.11,7.15,7.11,7.11,773450,1.9615022438151495,0.0,0.0078178895131708,0.007744677012830536,0.010370972689166797,,0,4,0,1,0,0.0,1.1351617495479996e-05,1.5736683323573814e-05,0.0
2014-03-10,7.11,7.2,7.11,7.15,957770,1.9671123567059163,0.00561011289076685,0.003966948868283292,0.007989165591317716,0.008886751962171504,,0,0,1,0,0,0.0,5.706788047518379e-05,6.695489684255924e-05,3.147336664714763e-05
2014-03-11,7.11,7.15,7.11,7.11,752790,1.9615022438151495,-0.00561011289076685,0.003966948868283292,0.008183770739103693,0.008889521905834937,,0,1,0,0,0,3.147336664714769e-05,1.1351617495479996e-05,1.5736683323573814e-05,3.147336664714769e-05
2014-03-12,7.11,7.15,7.07,7.07,979430,1.9558604799084813,-0.005641763906668151,0.004701338460405801,0.008333888615424513,0.008892337686771008,,0,2,0,0,0,0.0,4.566300455928332e-05,5.100680937333396e-05,3.1829499978583196e-05
2014-03-13,7.11,7.11,7.03,7.07,806950,1.9558604799084813,0.0,0.004701338460405801,0.006870348812883724,0.008457889183612139,,0,3,0,0,0,3.182949997858284e-05,4.61811732242767e-05,5.1725143671723305e-05,0.0
2014-03-14,7.11,7.15,7.03,7.11,924510,1.9615022438151495,0.005641763906668151,0.00562596065688926,0.0068873029693967604,0.00803435329491432,,0,4,0,1,0,3.182949997858284e-05,0.00010332497406733236,0.00014323882891240178,3.182949997858284e-05
2014-03-17,7.11,7.15,7.07,7.11,989350,1.9615022438151495,0.0,0.004712687483668031,0.004149052947278678,0.007894838727740104,0.01608723199637925,0,0,1,0,0,0.0,4.566300455928332e-05,6.330236573232633e-05,0.0
2014-03-18,7.11,7.24,7.07,7.2,2171570,1.9740810260220096,0.01257878220686015,0.006896368780076653,0.005467163787135812,0.008286500968143831,0.016360434366254062,0,1,0,0,0,0.0,0.00020362635062434173,0.0002211643420757632,0.0001582257618076224
2014-03-19,7.24,7.45,7.24,7.45,5624790,2.0082140323914683,0.03413300636945871,0.014203331423348698,0.011698501801877226,0.011165100041774623,0.017401808260847345,0,2,0,0,0,3.069359859435345e-05,0.0002948687238595364,9.296001076305533e-05,0.0011650621238175026
2014-03-20,7.5,7.71,7.5,7.58,3325420,2.0255131996542803,0.017299167262812,0.01307744527796901,0.012199337687484076,0.011105451269728483,0.015800302488641744,0,3,0,0,0,4.4742562481495835e-05,0.00027504888992081414,0.00033781128945670815,0.0002992611879867482
2014-03-21,7.5,7.63,7.5,7.5,1236010,2.0149030205422647,-0.010610179112015672,0.017064556714057127,0.013235333233207714,0.010979648314564255,0.01146247304114933,0,4,0,1,0,0.00011257590078905153,0.00010651352631579432,0.00014765910091458075,0.00011257590078905153
2014-03-24,7.58,7.71,7.54,7.54,2498010,2.020222182019865,0.005319161477600254,0.016384537105702715,0.01323499345314122,0.010983142691357282,0.010722599891067431,0,0,1,0,0,0.00011257590078904936,0.0001792952051408696,0.00023774167236547056,2.8293478824784098e-05
2014-03-25,7.58,7.58,7.37,7.37,2051430,1.9974177062012453,-0.022804475818619663,0.02245170750980044,0.01569900749412093,0.012369561810729714,0.011528716208690056,0,1,0,0,1,2.7994867607697698e-05,0.0002847002680339363,8.975431383250582e-05,0.000520044117362001
