date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2006-12-13,9.63,9.63,9.63,9.63,83530,2.2648832258100344,0.0,,,,,0,2,0,0,0,0.0,0.0,0.0,0.0
2006-12-14,10.11,10.11,10.11,10.11,280710,2.3135250330323798,0.048641807222345346,,,,,0,3,0,0,0,0.0023660254098558375,0.0,0.0,0.0023660254098558375
2006-12-15,10.61,10.61,10.61,10.61,265300,2.3617969526258915,0.048271919593511736,,,,,0,4,0,1,0,0.0023301782212424675,0.0,0.0,0.0023301782212424675
2006-12-18,11.14,11.14,11.14,11.14,215790,2.410542234499138,0.04874528187324634,,,,,0,0,1,0,0,0.002376102504902244,0.0,0.0,0.002376102504902244
2006-12-19,11.7,11.7,11.7,11.7,137520,2.4595888418037104,0.049046607304572554,0.021770510123755117,,,,0,1,0,0,0,0.002405569688088922,0.0,0.0,0.002405569688088922
2006-12-20,12.27,12.27,12.27,12.27,220120,2.50715725872282,0.04756841691910951,0.0005676062707962481,,,,0,2,0,0,0,0.00226275428819024,0.0,0.0,0.00226275428819024
2006-12-21,12.06,12.06,11.67,11.67,156400,2.4570214462984645,-0.050135812424355386,0.044073689049782934,,,,0,3,0,0,0,0.0002980134968779949,0.00038975032798945305,0.00012287228774409743,0.002513599687450155
2006-12-22,11.09,11.09,11.09,11.09,143500,2.4060438013622756,-0.05097764493618895,0.054233729650586496,,,,0,4,0,1,0,0.002598720283240148,0.0,0.0,0.002598720283240148
2006-12-25,10.54,10.54,10.54,10.54,22140,2.355177543113216,-0.05086625824905955,0.05421017055123931,,,,0,0,1,0,1,0.002587376228260008,0.0,0.0,0.002587376228260008
2006-12-26,10.04,11.05,10.04,11.05,300150,2.402430427963762,0.04725288485054602,0.053716544842580254,0.04688192989473914,,,0,1,0,0,1,0.002362001684368257,0.003313819202107501,0.001044711235096865,0.0022328351266989338
2006-12-27,11.55,11.55,11.05,11.55,413230,2.446685436967803,0.04425500900404078,0.05281966703398199,0.04752363489382159,,,0,2,0,0,1,0.0019585058219477305,0.0007063816592190385,0.0009792529109738653,0.0019585058219477305
2006-12-28,11.31,11.55,11.31,11.55,144840,2.446685436967803,0.0,0.048363392256876886,0.0465384817261734,,,0,3,0,0,1,0.0004409221707046885,0.00015902905727341177,5.013533711638096e-05,0.0
2006-12-29,11.19,11.19,11.07,11.07,69760,2.4042387467205457,-0.04244669024725711,0.046313569948238105,0.0477924384455297,,,0,4,0,1,1,0.0010026668194098305,4.192712904990572e-05,1.3217903603773673e-05,0.0018017215129465867
2007-01-02,10.83,10.83,10.59,10.59,81170,2.359910159613315,-0.04432858710723053,0.044591497409061084,0.04722257648745489,,,1,1,0,0,0,0.0004804287831505771,0.00018113168992961437,5.710339036637884e-05,0.0019650236349233164
2007-01-03,10.59,10.83,10.59,10.83,74660,2.382320061012899,0.022409901399583987,0.039200029587925865,0.044504299187964086,,,1,2,0,0,0,0.0,0.00018113168992961437,5.710339036637979e-05,0.0005022036807390818
2007-01-04,11.36,11.36,11.36,11.36,148510,2.4300984132930052,0.04777835228010607,0.04030103567010795,0.04453332130352921,,,1,3,0,0,0,0.0022827709466019127,0.0,0.0,0.0022827709466019127
2007-01-05,11.91,11.91,11.91,11.91,377800,2.477378383367209,0.0472799700742037,0.04636459843914629,0.044874036438919525,,,1,4,0,1,0,0.002235395570217575,0.0,0.0,0.002235395570217575
2007-01-08,12.27,12.27,11.79,11.79,351470,2.4672517145492794,-0.010126668817929563,0.039666788472577846,0.04122262199867726,,,1,0,1,0,0,0.0008867814174450395,0.000574355815203624,0.00018107082387139436,0.00010254942134802102
2007-01-09,11.91,11.91,11.79,11.79,225270,2.4672517145492794,0.0,0.02654466865348151,0.03624751903405133,,,1,1,0,0,0,0.00010254942134802095,3.698688540620566e-05,1.1660447471162229e-05,0.0
2007-01-10,11.79,11.91,11.79,11.91,314250,2.477378383367209,0.010126668817929563,0.02700022421088571,0.0339754820228362,0.03997773844261647,,1,2,0,0,0,0.0,3.698688540620566e-05,1.1660447471162256e-05,0.00010254942134802095
2007-01-11,12.03,12.03,12.03,12.03,283920,2.4874035299865875,0.010025146619378589,0.021703817047933494,0.03149412898189821,0.03990028408037639,,1,3,0,0,0,0.0001005035647400391,0.0,0.0,0.0001005035647400391
2007-01-12,12.63,12.63,12.63,12.63,279710,2.5360749363624,0.04867140637581224,0.022279200722490587,0.03441991557104759,0.03990174935346944,,1,4,0,1,0,0.002368905798599476,0.0,0.0,0.002368905798599476
2007-01-15,12.88,13.26,12.88,13.26,274290,2.5847519847577165,0.048677048395316724,0.023346044233212092,0.031217612849748506,0.03992169631922058,,1,0,1,0,0,0.00038419074571641415,0.0003049241043780483,9.613005968853161e-05,0.00236945504048
2007-01-16,13.91,13.91,13.91,13.91,339760,2.6326080059353516,0.0478560211776351,0.020994475272858477,0.023376437966847238,0.039878089312168505,,1,1,0,0,0,0.002290198762954263,0.0,0.0,0.002290198762954263
2007-01-17,14.42,14.42,13.24,13.24,145870,2.5832425505088623,-0.04936545542648929,0.042791842035951426,0.03375120086296271,0.04100545855597079,,1,2,0,0,0,0.001296585132375097,0.0026288242225429906,0.0008287604220045598,0.0024369481894647147
2007-01-18,12.59,13.26,12.59,13.26,282430,2.5847519847577165,0.0015094342488541912,0.04350988926090461,0.03268878748341816,0.039835513122080904,,1,3,0,0,0,0.0025340856430169484,0.0009696111634310594,0.000305678618636633,2.278391751614467e-06
2007-01-19,13.91,13.91,13.91,13.91,95290,2.6326080059353516,0.0478560211776351,0.04337439464525577,0.03275152885553689,0.03885642137743831,,1,4,0,1,0,0.002290198762954263,0.0,0.0,0.002290198762954263
2007-01-22,14.58,14.58,14.44,14.44,461630,2.67000213346468,0.03739412752932836,0.04172657219893767,0.032056522076785623,0.03666637682166702,,1,0,1,0,0,0.0022130175656986076,3.3577049624465826e-05,1.0585466147874093e-05,0.001398320773679687
2007-01-23,14.44,14.49,14.44,14.49,243990,2.673458756332591,0.00345662286791093,0.038098351663483104,0.03183145289301233,0.033550563669769884,,1,1,0,0,0,0.0,4.30941724429757e-06,1.3585824504169177e-06,1.194824165096508e-05
2007-01-24,14.49,14.49,13.96,13.96,156420,2.6361960973342264,-0.03726265899836445,0.033654257908129905,0.036719593097074406,0.03469844823101232,0.03836547018722557,1,2,0,0,0,0.0,0.0005007975919727191,0.00015788093403243852,0.0013885057556283949
2007-01-25,13.96,13.96,13.96,13.96,142420,2.6361960973342264,0.0,0.03376267980387651,0.03703277363419411,0.03391456987816829,0.03836547018722557,1,3,0,0,1,0.0,0.0,0.0,0.0
2007-01-26,13.72,14.17,13.72,13.96,129240,2.6361960973342264,0.0,0.02643955318732568,0.03525372987536879,0.03391456987816829,0.03780374249951795,1,4,0,1,1,0.00030072675644110926,0.0003756452662547725,0.00040458586413929636,0.0
2007-01-29,14.08,14.56,14.08,14.56,201310,2.67827804276854,0.04208194543431354,0.028096467722183317,0.03450374642607833,0.03233359772881996,0.037608305766611595,1,0,1,0,1,7.326081869128691e-05,0.00040531466946526625,0.0001277790860378386,0.0017708901315365317
2007-01-30,15.16,15.28,15.16,15.16,324420,2.7186603802142257,0.040382337445685756,0.03309641862964485,0.033647391036949054,0.029779248861379698,0.03734549881895219,1,1,0,0,1,0.0016307331775772345,2.242085832383851e-05,3.108190946580529e-05,0.0016307331775772345
2007-01-31,15.35,15.52,15.35,15.52,310330,2.7421295147550726,0.02346913454084687,0.0206642553695887,0.026913789877511165,0.029788561984087844,0.03671639589371595,1,2,0,0,1,0.00015512936203960733,4.375300672973203e-05,1.3793527924139593e-05,0.0005508002760963822
2007-02-01,15.57,15.57,14.92,14.92,114910,2.702702594775615,-0.039426919979457686,0.033993686045692466,0.031980279509984416,0.03153027894029513,0.037033452230972666,1,3,0,0,0,1.0345686278172523e-05,0.000655870373917151,0.00020676901985560228,0.0015544820190665745
2007-02-02,15.16,15.16,15.16,15.16,79470,2.7186603802142257,0.015957785438610816,0.03317184397270877,0.029476601227710796,0.030533043829902923,0.03548027154219896,1,4,0,1,0,0.0002546509161047394,0.0,0.0,0.0002546509161047394
2007-02-05,14.92,14.92,14.42,14.42,110440,2.668616131856803,-0.05004424835742283,0.04023811215132692,0.03277235490008566,0.03324424333974574,0.035426483860549404,1,0,1,0,0,0.0002546509161047391,0.00041906213676614886,0.00013211309844691083,0.0025044267936593896
2007-02-06,14.2,15.04,14.2,15.04,195540,2.7107133185216936,0.04209718666489071,0.04069367878466126,0.035414799094882064,0.033899457775472555,0.034071654685874406,1,1,0,0,0,0.00023636501861830315,0.0011912897481942547,0.0003755647813866098,0.0017721731250986536
2007-02-07,14.58,15.28,14.58,15.28,116470,2.7265447837383743,0.015831465216680662,0.03964779746929131,0.032442261903180454,0.03390533280384764,0.033422635578499595,1,2,0,0,0,0.0009648846181043582,0.0007931405689872397,0.00025004468044156425,0.0002506352909069697
2007-02-08,14.54,14.54,14.54,14.54,103880,2.6769034721053733,-0.049641311633001006,0.04216938166580008,0.03739777550516927,0.0366450254143174,0.03455921998705641,1,3,0,0,0,0.002464259820644737,0.0,0.0,0.002464259820644737
2007-02-09,13.81,13.81,13.81,13.81,194380,2.6253929674212007,-0.05151050468417262,0.04445521641300102,0.04135847740846368,0.03783297922828025,0.03619454858244026,1,4,0,1,0,0.002653332092818148,0.0,0.0,0.002653332092818148
2007-02-12,14.49,14.49,14.49,14.49,60490,2.673458756332591,0.04806578891139024,0.0485953449179552,0.042089179162915484,0.03779561240137588,0.035790809459753985,1,0,1,0,0,0.002310320063674327,0.0,0.0,0.002310320063674327
2007-02-13,15.21,15.21,14.92,15.16,160600,2.7186603802142257,0.045201623881634845,0.04926739010662119,0.042633147249537484,0.03763945303303753,0.03491495355540428,1,1,0,0,0,0.0023517019759684184,0.00013365927296362602,0.00018110287561827698,0.002043186801536754
2007-02-14,14.92,14.92,14.68,14.68,79810,2.6864860231863696,-0.03217435702785609,0.05046124049564522,0.04286028511113582,0.03652927517543889,0.03576345208632655,1,2,0,0,0,0.0002546509161047391,9.484897345202954e-05,2.9901989867075877e-05,0.0010351892501559519
2007-02-15,14.68,14.68,14.68,14.68,59720,2.6864860231863696,0.0,0.044787451231179824,0.041179655758084154,0.036538777212881804,0.0350869284548444,1,3,0,0,0,0.0,0.0,0.0,0.0
2007-02-26,15.4,15.4,15.4,15.4,231310,2.7343675094195836,0.04788148623321398,0.03642198058356056,0.043845040986041674,0.03654034642928356,0.03510999051113705,1,0,1,0,1,0.0022926367239014625,0.0,0.0,0.0022926367239014625
2007-02-27,16.17,16.17,16.0,16.0,289680,2.772588722239781,0.038221212820197525,0.034880237445037855,0.041098208021341606,0.03657928028678078,0.0353312895841192,1,1,0,0,1,0.0023804801196801303,4.028824460205032e-05,1.2701230577493668e-05,0.0014608611094468428
2007-02-28,16.0,16.0,15.21,15.21,69560,2.7219531062712017,-0.05063561596857946,0.042867482661816184,0.0435402157330659,0.03865056944740997,0.037004160655391534,1,2,0,0,1,0.0,0.0009247551156618122,0.0002915373471282874,0.0025639656045174835
2007-03-01,15.16,15.16,14.68,14.8,98850,2.6946271807700692,-0.027325925501132442,0.041984860226630095,0.04405625738538411,0.03817448846771425,0.037574421792129435,0,3,0,0,0,1.084204488628858e-05,0.0003733655993953899,0.0002944730589107273,0.0007467062044934215
2007-03-02,15.09,15.52,15.09,15.52,163420,2.7421295147550726,0.047502333985003364,0.0466406521866674,0.04338103261999443,0.03943991211753279,0.03828641453865486,0,4,0,1,0,0.0003765575959044616,0.00028473570576369807,8.97654858947615e-05,0.0022564717340227956
2007-03-05,15.52,15.52,15.28,15.28,125170,2.7265447837383743,-0.015584731016698328,0.04259885410996017,0.039340468757001604,0.03970314896657147,0.03775472877562275,0,0,1,0,0,0.0,8.760182818122048e-05,2.76172622989641e-05,0.0002428838408628385
2007-03-06,14.57,14.57,14.55,14.55,200880,2.6775909936175015,-0.04895379012087275,0.04000495988754565,0.0408746964618538,0.04038249021932024,0.03818565116977603,0,1,0,0,0,0.0022638719616615336,6.805372872485299e-07,2.145454855952854e-07,0.002396473567198465
2007-03-07,15.06,15.06,14.69,14.69,43980,2.6871669901857858,0.009575996568284229,0.03705475773227956,0.03798786996942679,0.03933363584282781,0.03726686408815115,0,2,0,0,0,0.0011868871626773783,0.0002231766909178079,7.035845415624938e-05,9.169971027579428e-05
2007-03-08,14.57,14.57,14.09,14.45,85390,2.670694414558441,-0.01647257562734472,0.03586195456347296,0.036965609771804436,0.03900779391701831,0.03617698273265902,0,3,0,0,0,6.727887326702694e-05,0.0004047490741643838,0.0005346802536027499,0.0002713457477985946
2007-03-09,14.94,14.94,14.45,14.45,56050,2.670694414558441,0.0,0.022258751975993182,0.036965609771804436,0.03808577038950282,0.03618005459319903,0,4,0,1,0,0.0011120734402481228,0.00040109570933757394,0.00012644902100501695,0.0
2007-03-12,14.69,14.69,14.45,14.69,87310,2.6871669901857858,0.01647257562734472,0.026080369284470342,0.0334646818216539,0.03809843314089736,0.035276749088532844,0,0,1,0,0,0.000271345747798594,9.786729117883472e-05,0.000135672873899297,0.000271345747798594
2007-03-13,14.74,14.74,14.02,14.69,74620,2.6871669901857858,0.0,0.012410190004768406,0.03002074269245169,0.0363508341451492,0.034631111520690656,0,1,0,0,0,1.1545701137147095e-05,0.0009045722851651098,0.0012495434189052702,0.0
2007-03-14,14.57,14.57,13.97,13.97,57450,2.6369121732688705,-0.050254816916915246,0.025313676117265736,0.02996159977039591,0.03670976457033172,0.03584401088355218,0,2,0,0,0,6.727887326702694e-05,0.0006378184688225868,0.00020107799481259203,0.0025255466233526877
2007-03-15,13.27,13.27,13.27,13.27,102590,2.5855058483441162,-0.051406324924754276,0.031575640336698615,0.03250236007591112,0.037887809329450434,0.03642279343661283,0,3,0,0,0,0.0026426102422694286,0.0,0.0,0.0026426102422694286
2007-03-16,13.27,13.92,13.27,13.92,102100,2.6333266549062735,0.04782080656215726,0.04314818148367178,0.032566050469577945,0.03838616640523584,0.03752892296037564,0,4,0,1,0,0.0,0.0008247994092711701,0.0002600254138846335,0.00228682954025528
2007-03-19,14.45,14.45,13.92,13.92,105730,2.6333266549062735,0.0,0.04145850354654425,0.032688579767002165,0.03658798000904637,0.03752892296037564,0,0,1,0,0,0.0013963494614221523,0.0005036266108354285,0.00015877280761089814,0.0
2007-03-20,13.73,13.73,13.49,13.54,100430,2.605648267484129,-0.027678387422144457,0.04150909269661814,0.030437358546676563,0.03529121887075215,0.036982672089681846,0,1,0,0,0,0.00018888200907339568,0.00011216136590949807,8.047691154411027e-05,0.0007660931302903391
2007-03-21,12.86,12.91,12.86,12.89,113940,2.556451816951096,-0.0491964505330329,0.041294823737689904,0.03244724971299403,0.03475884485838376,0.03702383332493268,0,2,0,0,0,0.0026549852183216493,5.431087509049339e-06,5.4317558598907105e-06,0.002420290745049146
2007-03-22,13.01,13.49,13.01,13.37,139830,2.5930133911138515,0.036561574162755406,0.04122708297092313,0.03597225874651217,0.035641233017733795,0.037450647005505606,0,3,0,0,0,8.586756955089601e-05,0.00047343490125723665,0.0003685221792354372,0.001336748705258691
2007-03-23,13.37,13.37,13.37,13.37,119530,2.5930133911138515,0.0,0.03239637608235935,0.03597225874651217,0.035641233017733795,0.03688735216911128,0,4,0,1,0,0.0,0.0,0.0,0.0
2007-03-26,13.01,13.01,12.77,13.01,107630,2.565718292524414,-0.027295098589437572,0.03299233568123773,0.0353524520242126,0.033719248557158854,0.036939533637845134,0,0,1,0,1,0.0007450224070071321,0.0001250421090281241,0.00017334517064822704,0.0007450224070071321
2007-03-27,12.41,12.41,12.36,12.36,62970,2.514465452029545,-0.05125284049486911,0.036966384558347325,0.0370696235692933,0.03313410238635667,0.03699086579596612,0,1,0,0,1,0.0022293216945454843,5.8784619869991775e-06,1.85323788304515e-06,0.0026268536587925077
