date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2014-07-14,4.25,4.28,4.25,4.28,10660,1.4539530095937054,0.0,,,,,0,0,1,0,0,0.0,1.7845247158317354e-05,5.625874274467964e-06,0.0
2014-07-15,4.57,4.57,4.57,4.57,13480,1.5195132049061133,0.06556019531240787,,,,,0,1,0,0,0,0.004298139209401075,0.0,0.0,0.004298139209401075
2014-07-16,4.88,4.88,4.88,4.88,17290,1.5851452198650557,0.06563201495894244,,,,,0,2,0,0,0,0.004307561387570832,0.0,0.0,0.004307561387570832
2014-07-17,5.22,5.22,5.22,5.22,95120,1.6524974018945473,0.06735218202949156,,,,,0,3,0,0,0,0.004536316424133766,0.0,0.0,0.004536316424133766
2014-07-18,5.56,5.56,5.56,5.56,134460,1.715598108262491,0.06310070636794363,0.0292919981981403,,,,0,4,0,1,0,0.003981699144133431,0.0,0.0,0.003981699144133431
2014-07-21,5.93,5.93,5.3,5.56,311030,1.715598108262491,0.0,0.0292919981981403,,,,0,0,1,0,0,0.004150722972889856,0.0045499704106588025,0.004704197444560512,0.0
2014-07-22,5.46,5.72,5.46,5.72,568890,1.7439688053917064,0.028370697129215472,0.029809436817751566,,,,0,1,0,0,0,0.0003293977622205176,0.0007805383601656019,0.00024607172104334823,0.0008048964555976803
2014-07-23,5.77,5.77,5.67,5.72,23330,1.7439688053917064,0.0,0.032702927085952946,,,,0,2,0,0,0,7.574699795891447e-05,0.0001102413730270443,0.00012356635560621798,0.0
2014-07-24,5.67,5.72,5.67,5.67,33590,1.7351891177396608,-0.00877968765204562,0.02956389073310886,,,,0,3,0,0,0,7.708291526748614e-05,2.78017848984162e-05,3.854145763374251e-05,7.708291526748614e-05
2014-07-25,5.67,5.72,5.67,5.67,79630,1.7351891177396608,0.0,0.014188180295568606,0.03349348308683999,,,0,4,0,1,1,0.0,2.78017848984162e-05,3.854145763374251e-05,0.0
2014-07-28,5.67,5.72,5.67,5.67,93810,1.7351891177396608,0.0,0.014188180295568606,0.03349348308683999,,,0,0,1,0,1,0.0,2.78017848984162e-05,3.854145763374251e-05,0.0
2014-07-29,5.67,5.67,5.51,5.56,25300,1.715598108262491,-0.019591009477169852,0.008658973329478873,0.03374155869186605,,,0,1,0,0,1,0.0,0.0002955222615934891,0.00026141811298094916,0.00038380765233455503
2014-07-30,5.62,5.62,5.51,5.56,16160,1.715598108262491,0.0,0.008658973329478873,0.02996666107219739,,,0,2,0,0,1,0.00011520921674371387,0.00014092818617969163,0.00015086327904662527,0.0
2014-07-31,5.51,5.51,5.3,5.41,37400,1.6882490928583902,-0.02734901540410073,0.01314442000182432,0.025533499717102545,,,0,3,0,0,1,8.160385300978681e-05,0.0005445917064126096,0.0006253786266717856,0.0007479686435737426
2014-08-01,5.51,5.51,5.35,5.41,28290,1.6882490928583902,0.0,0.01314442000182432,0.014677869972687455,,,0,4,0,1,0,0.0003354586504058648,0.0003131970804799051,0.0003045975615478311,0.0
2014-08-04,5.41,5.41,5.41,5.41,13350,1.6882490928583902,0.0,0.01314442000182432,0.014677869972687455,,,0,0,1,0,0,0.0,0.0,0.0,0.0
2014-08-05,5.46,5.51,5.46,5.46,21340,1.6974487897568136,0.00919969689842337,0.013844886367829951,0.010939644767397219,,,0,1,0,0,0,8.463442302286141e-05,2.997141914919537e-05,4.154920936129025e-05,8.463442302286141e-05
2014-08-06,5.46,5.62,5.46,5.62,20800,1.7263316639055997,0.028882874148786097,0.020271788539386906,0.015262907751630934,,,0,2,0,0,0,0.0,0.0003008814154090299,9.485556571998629e-05,0.000834220419094619
2014-08-07,5.62,5.62,5.56,5.62,17250,1.7263316639055997,0.0,0.012537926449420625,0.015065728913234098,,,0,3,0,0,0,0.0,4.155294141521443e-05,5.760460837185693e-05,0.0
2014-08-08,5.56,5.62,5.56,5.62,9190,1.7263316639055997,0.0,0.012537926449420625,0.015065728913234098,0.029331876057404758,,0,4,0,1,0,0.00011520921674371227,4.155294141521443e-05,1.3099937594720983e-05,0.0
