date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end
2017-04-21,36.22,36.22,32.17,34.19,4820970,3.5319332036512097,0.0,,,,,0,4,0,1,0
2017-04-24,34.19,34.61,33.56,33.84,1757390,3.521643534738023,-0.010289668913186834,,,,,0,0,1,0,0
2017-04-25,33.63,33.84,31.5,31.57,2533550,3.4522073025699003,-0.06943623216812256,,,,,0,1,0,0,1
2017-04-26,30.14,31.12,30.14,30.84,1743790,3.4288125486951286,-0.023394753874771634,,,,,0,2,0,0,1
2017-04-27,30.84,32.1,30.84,32.1,825430,3.4688560301359703,0.04004348144084169,0.039630532973574405,,,,0,3,0,0,1
2017-04-28,32.24,32.87,32.24,32.62,781910,3.4849255971928677,0.016069567056897327,0.04151611286964449,,,,0,4,0,1,1
2017-05-03,32.62,32.73,32.17,32.69,521490,3.487069220736119,0.0021436235432514827,0.04182085222117206,,,,0,2,0,0,0
2017-05-04,32.69,33.21,32.66,33.21,2947740,3.5028510353886553,0.01578181465253614,0.02318258592682766,,,,0,3,0,0,0
2017-05-05,32.94,33.21,32.87,32.94,1274310,3.494687724749494,-0.008163310639161203,0.018125286642382044,,,,0,4,0,1,0
2017-05-08,32.87,33.21,32.59,33.21,1414880,3.5028510353886553,0.008163310639161203,0.010173973974990973,0.029133135678064505,,,0,0,1,0,0
2017-05-09,33.21,33.21,32.8,32.8,864620,3.490428515390098,-0.01242251999855748,0.01156722371814591,0.02925992460186826,,,0,1,0,0,0
2017-05-10,32.8,33.14,32.8,32.94,2706150,3.494687724749494,0.0042592093593962765,0.011653288180930473,0.029282445657080294,,,0,2,0,0,0
2017-05-11,32.94,34.75,32.94,33.98,3351200,3.525772116243786,0.031084391494291985,0.01707998356060052,0.019417881386695996,,,0,3,0,0,0
2017-05-12,33.98,34.19,33.84,33.98,1272460,3.525772116243786,0.0,0.015906689031108107,0.016489845212648964,,,0,4,0,1,0
2017-05-15,33.74,34.4,33.56,34.05,2429190,3.527830032595521,0.002057916351735134,0.015954186139308043,0.012650481094734694,,,0,0,1,0,0
2017-05-16,34.33,36.36,34.05,35.73,3627190,3.5759906720353185,0.048160639439797315,0.02147024650500211,0.018318287050595076,,,0,1,0,0,0
2017-05-17,35.66,36.36,35.31,35.66,1642560,3.574029612434994,-0.001961059600324333,0.02255404804013922,0.01853633432009437,,,0,2,0,0,0
2017-05-18,35.52,37.06,35.52,37.06,3077950,3.6125382208572137,0.03850860842221948,0.024004007511117295,0.020761319712833473,,,0,3,0,0,0
2017-05-19,37.62,39.65,37.27,39.65,4369030,3.680090948080857,0.06755272722364314,0.03004559648173534,0.026123032034675968,,,0,4,0,1,0
