date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2007-09-19,2.44,2.44,2.44,2.44,307840,0.8919980393051105,0.0,,,,,0,2,0,0,0,0.0,0.0,0.0,0.0
2007-09-20,2.56,2.56,2.54,2.56,794790,0.9400072584914712,0.048009219186360697,,,,,0,3,0,0,0,0.0023048851268840207,2.2187002418249153e-05,3.075771634257218e-05,0.0023048851268840207
2007-09-21,2.67,2.67,2.63,2.67,1224660,0.9820784724121582,0.04207121392068702,,,,,0,4,0,1,0,0.0017699870407602125,8.217870143122637e-05,0.0001139238703982642,0.0017699870407602125
2007-09-24,2.79,2.79,2.79,2.79,551130,1.0260415958332743,0.04396312342111608,,,,,0,0,1,0,0,0.001932756220940296,0.0,0.0,0.001932756220940296
2007-09-25,2.93,2.93,2.89,2.93,962110,1.075002423028976,0.04896082719570183,0.020655931931539206,,,,0,1,0,0,1,0.0023971625996873636,6.814943017002731e-05,9.447517075824262e-05,0.0023971625996873636
2007-09-26,3.06,3.06,3.0,3.06,781900,1.1184149159642893,0.04341249293531324,0.00302138726047132,,,,0,2,0,0,1,0.0018846445428586413,0.00014143606828012222,0.00019607202391570125,0.0018846445428586413
2007-09-27,3.02,3.06,2.93,2.93,562590,1.075002423028976,-0.04341249293531324,0.0394476110094246,,,,0,3,0,0,1,0.00017313518974893807,0.0006797418339551523,0.0005887357532124245,0.0018846445428586382
2007-09-28,3.0,3.06,2.99,3.06,833570,1.1184149159642893,0.04341249293531324,0.039580068472385314,,,,0,4,0,1,1,0.0005574257554979445,0.0001931517429455231,0.00011628213766185785,0.0018846445428586413
2007-10-01,3.2,3.2,3.18,3.2,781020,1.1631508098056809,0.04473589384139154,0.039662983734287,,,,0,0,1,0,0,0.0020013001977882516,1.417738124119992e-05,1.9654023670122366e-05,0.0020013001977882516
2007-10-02,3.36,3.36,3.28,3.36,887990,1.2119409739751128,0.04879016416943194,0.03963988079888329,0.030192266835125544,,,0,1,0,0,0,0.00238048011968011,0.00020944036432362812,0.00029034599605274117,0.00238048011968011
2007-10-03,3.51,3.51,3.49,3.51,1027610,1.2556160374777743,0.04367506350266148,0.03966658236549854,0.028138963194135305,,,0,2,0,0,0,0.0019075111719615264,1.1777166468078103e-05,1.6326619464666933e-05,0.0019075111719615264
2007-10-04,3.69,3.69,3.69,3.69,1206640,1.3056264580524357,0.05001042057466143,0.003061416838762806,0.02823794381223821,,,0,3,0,0,0,0.002501042166054518,0.0,0.0,0.002501042166054518
2007-10-05,3.86,3.86,3.69,3.77,1116040,1.3270750014599193,0.02144854340748359,0.011646538262273385,0.0285422992406599,,,0,4,0,1,0,0.0020286669467475082,0.0007316869359219962,0.0007993254884147731,0.00046004001430271217
2007-10-08,3.75,3.84,3.69,3.77,949940,1.3270750014599193,0.0,0.021649742204583877,0.030256971221949158,,,0,0,1,0,0,2.8293478824783102e-05,0.0005726404407607926,0.0007829186026494164,0.0
2007-10-09,3.69,3.71,3.59,3.59,527100,1.2781522025001875,-0.04892279895973184,0.0399538741982963,0.03825465006810303,,,0,1,0,0,0,0.00046004001430270935,0.0003899146532301362,0.0002489480898919921,0.0023934402580543523
2007-10-10,3.65,3.67,3.57,3.59,599460,1.2781522025001875,0.0,0.036238607491279516,0.0378028554808783,,,0,2,0,0,0,0.0002747294678743661,0.00027526604710790344,0.000275473324640112,0.0
2007-10-11,3.57,3.57,3.49,3.49,362850,1.2499017362143359,-0.028250466285851594,0.027525080349284928,0.03538293741464326,,,0,3,0,0,0,3.1210174517019475e-05,0.00018526026843268545,5.840496178113801e-05,0.000798088845368039
2007-10-12,3.47,3.51,3.45,3.51,527800,1.2556160374777743,0.005714301263438415,0.02346756077903822,0.03430604293655536,,,0,4,0,1,0,3.302964410573477e-05,0.00010722105544915411,9.789450651574725e-05,3.2653238929333865e-05
2007-10-15,3.51,3.61,3.51,3.61,326950,1.2837077723447896,0.028091734867015328,0.030154537792700314,0.03301347075315309,,,0,0,1,0,0,0.0,0.00028462409931508895,8.973030096050283e-05,0.000789145567838671
2007-10-16,3.61,3.61,3.53,3.53,236970,1.2612978709452054,-0.02240990139958421,0.022722662885553774,0.03186867953091351,0.03324986077936365,,0,1,0,0,0,0.0,0.00018113168992961437,5.710339036637884e-05,0.0005022036807390842
2007-10-17,3.49,3.51,3.47,3.47,272570,1.244154593958768,-0.017143276986437472,0.023371006618253205,0.02935864296055194,0.03396423031283396,,0,2,0,0,0,0.00012987188680412936,4.7379795815247334e-05,5.2923178501847e-05,0.0002938919458337151
2007-10-18,3.43,3.55,3.41,3.41,398500,1.2267122912954254,-0.017442302663342568,0.021298933567264783,0.023454336016491086,0.03403394731499548,,0,3,0,0,0,0.00013442855263469887,0.0005838876621671437,0.0007962293886330734,0.00030423392219964033
2007-10-19,3.49,3.57,3.47,3.57,525830,1.2725655957915476,0.04585330449612224,0.031362968387968475,0.027726953315711983,0.03420624032688062,,0,4,0,1,0,0.0005377503556471772,0.00029113045821312604,0.0002051722088844548,0.0021025255332141044
2007-10-22,3.51,3.51,3.47,3.51,280000,1.2556160374777743,-0.016949558313773316,0.028863097094087204,0.027874385226641343,0.034158854292108215,,0,0,1,0,0,0.00028728752703200224,4.7379795815247334e-05,6.568234376968917e-05,0.00028728752703200224
2007-10-23,3.43,3.47,3.41,3.41,192730,1.2267122912954254,-0.02890374618234892,0.029933814523506963,0.02512380535148308,0.03409924382127651,,0,1,0,0,0,0.0005315688207922173,0.00010972919270690518,0.00013890617614310688,0.0008354265433736473
2007-10-24,3.41,3.51,3.41,3.45,182750,1.2383742310432684,0.01166193974784302,0.03024397396761357,0.025654172157733898,0.03306695662874472,,0,2,0,0,0,0.0,0.0003013164327880448,0.00036517691459627116,0.00013600083868231945
2007-10-25,3.45,3.47,3.4,3.4,163650,1.2237754316221157,-0.01459879942115272,0.02988578406990933,0.02455885303876532,0.0313858589127727,,0,3,0,0,1,0.0,0.00014979151224712693,0.00012532616448238874,0.00021312494453904984
2007-10-26,3.38,3.38,3.34,3.34,212630,1.205970806988609,-0.017804624633506627,0.015015586342410145,0.024797805168917008,0.03066980297096464,,0,4,0,1,1,3.48067211780349e-05,5.111710314195333e-05,1.6115125388869207e-05,0.0003170046583400738
2007-10-29,3.18,3.26,3.18,3.18,457260,1.1568811967920856,-0.04908961019652347,0.022145163473860644,0.025370567804616308,0.03134017549662223,,0,0,1,0,1,0.002409789829246625,0.0002226524405910398,0.00030866182288093993,0.002409789829246625
2007-10-30,3.18,3.24,3.18,3.2,146250,1.1631508098056809,0.006269613013595299,0.024016743806738666,0.02576670812581588,0.029203185413009543,0.03337995966111965,0,1,0,0,1,0.0,0.000126017910172321,0.00015951344123783125,3.930804734024473e-05
2007-10-31,3.2,3.22,3.16,3.16,140770,1.1505720275988207,-0.01257878220686015,0.019972530231129777,0.02566267919918804,0.027165885264933687,0.03357583585548321,0,2,0,0,1,0.0,0.00012760311900911444,0.0001157737647734633,0.00015822576180761955
2007-11-01,3.18,3.2,3.08,3.14,195380,1.144222799920162,-0.006349227678658753,0.02060895889357749,0.025513732156442454,0.023852779608556158,0.032835401460120414,0,3,0,0,0,3.980561590924105e-05,0.000526894269506633,0.0006685326733783286,4.031269211544676e-05
2007-11-02,3.12,3.12,3.06,3.06,197100,1.1184149159642893,-0.025807883955872635,0.021097845827105263,0.017404611482261547,0.023103610044845683,0.03265987166597969,0,4,0,1,0,4.082951974305761e-05,0.00013599639042359077,4.287408224256241e-05,0.0006660468742797858
2007-11-05,3.2,3.2,3.2,3.2,66650,1.1631508098056809,0.04473589384139154,0.026913435138715133,0.025737043244380194,0.026133718767993815,0.03269232198493574,0,0,1,0,0,0.0020013001977882516,0.0,0.0,0.0020013001977882516
2007-11-06,3.36,3.36,3.36,3.36,70540,1.2119409739751128,0.04879016416943194,0.03453356925418804,0.03044078912373587,0.02722987371601061,0.032684345140300115,0,1,0,0,0,0.00238048011968011,0.0,0.0,0.00238048011968011
2007-11-07,3.24,3.32,3.24,3.24,444180,1.1755733298042381,-0.03636764417087468,0.03964130549064209,0.03189183690057019,0.028194377056715417,0.032660139427535595,0,2,0,0,0,0.0013226055425393582,0.00021458032370103388,0.0002974714927540241,0.0013226055425393582
2007-11-08,3.22,3.22,3.16,3.16,170020,1.1505720275988207,-0.02500130220541741,0.041795440265150446,0.03235955122447426,0.028063192813441572,0.031944359523550535,0,3,0,0,0,3.834049555114018e-05,0.00012760311900911444,4.022802812460221e-05,0.0006250651119666024
2007-11-09,3.16,3.28,3.16,3.28,316190,1.1878434223960523,0.03727139479723163,0.04109301747571104,0.03495939047218219,0.029543437993408195,0.03169195207894386,0,4,0,1,0,0.0,0.000501032431888744,0.0001579549694229502,0.0013891568701311027
2007-11-12,3.22,3.24,3.18,3.18,96340,1.1568811967920856,-0.030962225603966775,0.04082923416254607,0.0326278010836694,0.029180383679414054,0.03120772515389161,0,0,1,0,0,0.0003408477642983362,0.000126017910172321,0.00011433785246416436,0.0009586594143509379
2007-11-13,3.14,3.14,3.02,3.02,167790,1.1052568313867783,-0.05162436540530724,0.034220829864744194,0.03631919666029567,0.030717799723011297,0.031156038258257034,0,1,0,0,0,0.00016023501136712176,0.0005476278149606275,0.00017264458199079313,0.002665075103500677
2007-11-14,3.12,3.16,3.1,3.1,296610,1.1314021114911006,0.026145280104322266,0.03850750857374907,0.037558146075604586,0.031539072750053375,0.030394763391621758,0,2,0,0,0,0.0010612068801849324,0.00013254244332356704,0.00016776711681695762,0.0006835756717334667
2007-11-15,3.1,3.12,3.08,3.12,138080,1.1378330018213911,0.00643089033029054,0.03776693942658319,0.037607975372306694,0.03152054570329046,0.028712328827087134,0,3,0,0,0,0.0,6.0051407922063524e-05,6.727320320811124e-05,4.135635044022169e-05
2007-11-16,3.12,3.12,3.08,3.1,93360,1.1314021114911006,-0.00643089033029054,0.030630452882432435,0.036654185766439376,0.029213192751811796,0.02825443436616943,0,4,0,1,0,0.0,6.0051407922063524e-05,6.727320320811089e-05,4.1356350440222605e-05
2007-11-19,3.12,3.12,3.1,3.1,103860,1.1314021114911006,0.0,0.02872945665410168,0.03334421913968115,0.02915694008911507,0.02825443436616943,0,0,1,0,0,4.135635044022169e-05,1.4916150422343483e-05,4.702450248554748e-06,0.0
2007-11-20,3.06,3.08,3.04,3.06,73830,1.1184149159642893,-0.012987195526811268,0.015002737936088195,0.027930081970778883,0.02871886923389086,0.02713442594787903,0,1,0,0,0,0.00016866724765162458,6.163168562753178e-05,8.543965825176112e-05,0.00016866724765162458
2007-11-21,3.0,3.02,2.97,3.02,193670,1.1052568313867783,-0.013158084577510998,0.00848233464227738,0.02635570002652716,0.02847735376628715,0.02715172988864753,0,2,0,0,0,0.0003921440478314035,0.00010052661914975446,0.0001223046093367113,0.00017313518974893807
2007-11-22,3.06,3.08,3.02,3.02,60070,1.1052568313867783,0.0,0.006536769305318129,0.025637722851783198,0.02845013005521486,0.02683295055281877,0,3,0,0,0,0.00017313518974893812,0.00013958713140438059,0.00012662770563935696,0.0
2007-11-23,3.16,3.16,3.16,3.16,122430,1.1505720275988207,0.045315196212042386,0.024092386289142547,0.02717510431052022,0.03049083740249576,0.028302930523652625,0,4,0,1,0,0.0020534670077359102,0.0,0.0,0.0020534670077359102
2007-11-26,3.32,3.32,3.22,3.32,594620,1.199964782928397,0.04939275532957632,0.031203949033976924,0.02996415944435759,0.030568842119989205,0.02936991441697447,0,0,1,0,1,0.0024396442790473845,0.0003373546814402028,0.0004676728925779502,0.0024396442790473845
2007-11-27,3.32,3.32,3.24,3.3,359580,1.1939224684724346,-0.006042314455962483,0.029843248580553757,0.023217694738668547,0.030605550408284884,0.029144064463502917,0,1,0,0,1,0.0,0.00021458032370103388,0.00028336805405977536,3.650956398473444e-05
2007-11-28,3.26,3.28,3.22,3.22,237300,1.169381359556317,-0.024541108916117604,0.032823375264465035,0.02452246065123395,0.031010176653490616,0.029305312766331446,0,2,0,0,1,0.00014872468583280717,0.00012293484481282527,0.00011154502613637356,0.0006022660268327441
2007-11-29,3.24,3.26,3.12,3.12,319240,1.1378330018213911,-0.031548357734925814,0.03845433778305978,0.026895568699885637,0.031823215889657974,0.029664418817759063,0,3,0,0,1,3.8340495551138606e-05,0.0006949102160679271,0.0004131385564384811,0.0009952988757708657
2007-11-30,3.12,3.14,3.1,3.12,485160,1.1378330018213911,0.0,0.0317854612601584,0.026801435607751736,0.03125343418639697,0.028208002600653495,0,4,0,1,1,0.0,5.928396464885262e-05,8.218502589753532e-05,0.0
2007-12-03,3.06,3.16,3.06,3.12,181120,1.1378330018213911,0.0,0.01467994228430885,0.026801435607751736,0.029508490442313875,0.028119468649506565,0,0,1,0,0,0.0003770620583537702,0.00037296546017844164,0.00037138296740353983,0.0
2007-12-04,3.14,3.14,3.12,3.12,241890,1.1378330018213911,0.0,0.015559235591473472,0.026378894630377823,0.027068372522225978,0.027726568216241785,0,1,0,0,0,4.0829519743057333e-05,1.472613641379671e-05,4.642546627552268e-06,0.0
2007-12-05,3.1,3.12,3.06,3.06,263870,1.1184149159642893,-0.019418085857101808,0.014601757254186611,0.026847168881881735,0.02624473973164536,0.02774192595404922,0,2,0,0,0,4.1356350440222605e-05,0.00013599639042359077,0.00012337582250344827,0.0003770620583537702
2007-12-06,3.06,3.08,3.04,3.06,164670,1.1184149159642893,0.0,0.008684031993881394,0.026847168881881735,0.02572478429993845,0.027677540317536758,0,3,0,0,0,0.0,6.163168562753178e-05,8.543965825176112e-05,0.0
2007-12-07,3.06,3.1,3.04,3.06,402370,1.1184149159642893,0.0,0.008684031993881394,0.02197820339720933,0.024055918698692808,0.027551099682696978,0,4,0,1,0,0.0,0.00013777421533583379,0.00019099561782778392,0.0
2007-12-10,3.06,3.08,3.02,3.02,182810,1.1052568313867783,-0.013158084577510998,0.009191788075039082,0.01195971063459912,0.023302693722552285,0.026223754505255697,0,0,1,0,0,0.0,0.00013958713140438059,0.00012662770563935696,0.00017313518974893807
2007-12-11,2.99,3.0,2.95,2.99,297280,1.095273387402595,-0.009983443984183271,0.008479419879813672,0.01189895973464004,0.02036529492154017,0.02622087382770512,0,1,0,0,0,9.966915378532272e-05,0.00010188284466245712,0.00014123961305041805,9.966915378532272e-05
2007-12-12,3.0,3.08,3.0,3.04,127990,1.1118575154181303,0.016584128015535216,0.011610746586518082,0.013288672349248413,0.01981161412934816,0.02636541474474874,0,2,0,0,0,1.11482616608552e-05,0.0002498029049588664,0.0002785304087685427,0.0002750333020356615
2007-12-13,3.06,3.06,3.02,3.02,303550,1.1052568313867783,-0.006600684031351944,0.011798089223491624,0.009788587717830447,0.0197693981097429,0.026367118351329127,0,3,0,0,0,4.299950192276687e-05,6.244531991354068e-05,1.9686447363031996e-05,4.356902968174561e-05
2007-12-14,3.02,3.04,3.0,3.04,185510,1.1118575154181303,0.006600684031351944,0.012513750482457831,0.010244593012352036,0.01981749146624159,0.02598953593799628,0,4,0,1,0,0.0,6.327517321708716e-05,7.088754534420844e-05,4.356902968174651e-05
2007-12-17,3.02,3.02,3.0,3.02,157580,1.1052568313867783,-0.006600684031351944,0.01124065773060255,0.010271244136208833,0.019855287245141445,0.02457935898873648,0,0,1,0,0,4.356902968174561e-05,1.592372773721198e-05,2.207497397010536e-05,4.356902968174561e-05
2007-12-18,3.0,3.04,3.0,3.04,154370,1.1118575154181303,0.006600684031351944,0.009928529099966252,0.010706712501261784,0.019731549397208503,0.022713450726033476,0,1,0,0,0,4.4149947940212085e-05,6.327517321708716e-05,1.9948066062430516e-05,4.356902968174651e-05
2007-12-19,3.08,3.1,3.06,3.1,167140,1.1314021114911006,0.01954459607297032,0.010952957445953036,0.010991098798509149,0.019965989540230402,0.02219767273506065,0,2,0,0,0,0.00017087931650352223,6.083385043684663e-05,6.81504226308962e-05,0.00038199123565556785
2007-12-20,3.12,3.12,3.04,3.06,191390,1.1184149159642893,-0.012987195526811268,0.012715527263965907,0.011891977910451946,0.020220317166342292,0.021864419947599155,0,3,0,0,0,4.135635044022169e-05,0.00024335592526717029,0.00019170600000867113,0.00016866724765162458
2007-12-21,3.04,3.06,3.04,3.06,220330,1.1184149159642893,0.0,0.012541896211160914,0.011891977910451946,0.017277684207883847,0.020634895232989746,0,4,0,1,0,4.299950192276703e-05,1.5508792046167803e-05,4.8892858376547e-06,0.0
2007-12-24,3.06,3.08,3.04,3.06,155160,1.1184149159642893,0.0,0.011827938060363186,0.010966228658326267,0.01246339848147584,0.019914354680158387,0,0,1,0,0,0.0,6.163168562753178e-05,8.543965825176112e-05,0.0
2007-12-25,3.04,3.06,3.02,3.02,166750,1.1052568313867783,-0.013158084577510998,0.01337048865150203,0.011368260779909396,0.012622983712511224,0.01767352009030783,0,1,0,0,1,4.299950192276703e-05,6.244531991354068e-05,6.97371243889456e-05,0.00017313518974893807
2007-12-26,3.02,3.04,3.0,3.04,141200,1.1118575154181303,0.006600684031351944,0.00878881704143384,0.010228711342017477,0.01191281434983198,0.017024836194313168,0,2,0,0,1,0.0,6.327517321708716e-05,7.088754534420844e-05,4.356902968174651e-05
2007-12-27,3.04,3.04,3.02,3.02,146490,1.1052568313867783,-0.006600684031351944,0.007510762464001844,0.010228711342017477,0.009886320189936714,0.0170041359407056,0,3,0,0,1,0.0,1.5714205764549936e-05,4.954044355349787e-06,4.356902968174561e-05
2007-12-28,3.0,3.02,3.0,3.02,220180,1.1052568313867783,0.0,0.007510762464001844,0.009965010390890127,0.009886320189936714,0.01697494085116711,0,4,0,1,1,4.4149947940212085e-05,1.592372773721198e-05,5.020098037065231e-06,0.0
2008-01-02,3.02,3.06,3.02,3.06,156160,1.1184149159642893,0.013158084577510998,0.010409231946466504,0.010595189856593744,0.010423631153099714,0.017167138509978717,1,2,0,0,0,0.0,6.244531991354068e-05,1.9686447363031982e-05,0.00017313518974893812
2008-01-03,3.04,3.04,3.0,3.0,111990,1.0986122886681098,-0.019802627296179542,0.01268451129681171,0.01228670178523649,0.011235455102013896,0.017382746367978024,1,3,0,0,0,4.299950192276703e-05,6.327517321708716e-05,1.9948066062430963e-05,0.0003921440478314035
2008-01-04,2.99,2.99,2.97,2.97,66670,1.0885619528146082,-0.010050335853501569,0.012260922381975688,0.010064795993791958,0.010649373627797679,0.01731482438840628,1,4,0,1,0,1.1148261660854988e-05,1.6245955942732776e-05,5.121683369891518e-06,0.00010100925076817446
2008-01-07,2.95,2.97,2.89,2.93,117490,1.075002423028976,-0.01355952978563213,0.012913979744252178,0.010121254485171932,0.010975960828171493,0.01747602463142648,1,0,1,0,0,4.565410925067951e-05,0.0002689138967557793,0.0003549171311815541,0.0001838608480074512
2008-01-08,2.93,3.0,2.93,2.95,109010,1.0818051703517284,0.006802747322752323,0.014021685227109748,0.010659750931132125,0.011150781257781352,0.015225459228690662,1,1,0,0,0,0.0,0.0002010488432801671,0.0002608361902312126,4.627737113721794e-05
2008-01-09,2.95,2.97,2.91,2.91,56360,1.0681530811834012,-0.013652089168327164,0.010055106281088381,0.01100734245710269,0.011177708406426802,0.011814433181467385,1,2,0,0,0,0.0,0.00015022857083635835,0.00013626365581707439,0.00018637953865996014
2008-01-10,2.79,2.85,2.79,2.79,291740,1.0260415958332743,-0.04211148535012699,0.017589791892324548,0.016040975827655537,0.014284280188438388,0.01367654631693417,1,3,0,0,0,0.0017733771983939582,0.00016328699639187518,0.0002263638423422605,0.0017733771983939582
